CSV Report,LLM_UV_05.csv
Worksheet Type,Scan

METHOD
X mode,nm
Y mode,Abs
Collect mode,Scan
Scan range start (nm),800.00
Scan range stop (nm),200.00
Data Interval (nm),1.00
Scan rate (nm/min),3000
Averaging Time (s),.02
Spectral Bandwidth (nm),2
Detector module,Multicell Peltier UV-Vis
Baseline,Off
Experiment Zones,1
Experimental temperature (°C),25°C


SAMPLES
Name,Sample 1,,Sample 2,,Sample 3,
,698,-0.01252641956979,698,-0.024216190748186,698,-0.0011786440142377
,697,-0.0123496293886845,697,-0.0241309357954091,697,-0.0010659175553111
,696,-0.0125015203556687,696,-0.0242252000583494,696,-0.00146412466451713
,695,-0.0124556417016522,695,-0.0240106885617781,695,-0.00122134126654091
,694,-0.0124770221598946,694,-0.0241719738698252,694,-0.00128426946676509
,693,-0.0125192769109489,693,-0.0242009136646698,693,-0.00136411682113469
,692,-0.0124391402989228,692,-0.024084946997087,692,-0.00125257420373299
,691,-0.0123536550084874,691,-0.0240409126893966,691,-0.00139203670447419
,690,-0.0123232103327412,690,-0.0240237679805208,690,-0.00146732370971692
,689,-0.0124442215903518,689,-0.0241620819917997,689,-0.00140375116718496
,688,-0.0123221535370745,688,-0.0240486030960589,688,-0.00132422078615467
,687,-0.0123521957256204,687,-0.0240735347519668,687,-0.00144642629511242
,686,-0.0123273871666375,686,-0.0239823729650404,686,-0.00124849598075536
,685,-0.0124567987886856,685,-0.0241293686321654,685,-0.00136112345538961
,684,-0.0122349338690538,684,-0.0239830588317612,684,-0.0014604096147129
,683,-0.0122199341459824,683,-0.0240085821017071,683,-0.00154517707674654
,682,-0.0122841071803082,682,-0.024087151044211,682,-0.00161012159376858
,681,-0.0122472151357607,681,-0.0239576320483677,681,-0.00155730010269382
,680,-0.0122503357301627,680,-0.0240311647807906,680,-0.00164256442246175
,679,-0.0121330967094858,679,-0.0239465594192208,679,-0.00161919964058718
,678,-0.0121584197959445,678,-0.0239292149990503,678,-0.00144699389249763
,677,-0.0122488761000884,677,-0.0239769349834145,677,-0.00142666312357199
,676,-0.012068599237523,676,-0.0238912410393315,676,-0.00160418981294509
,675,-0.0120132577058676,675,-0.0239015800850501,675,-0.00140617658914323
,674,-0.0120673907625585,674,-0.0239072640053317,674,-0.00143435177499594
,673,-0.0120739366283925,673,-0.0238858999192942,673,-0.00141469126111324
,672,-0.0119897895586437,672,-0.0237419589489254,672,-0.00128901839486663
,671,-0.0120579746132819,671,-0.0238420414494754,671,-0.00126847374533967
,670,-0.0122128871173498,670,-0.0239633642277754,670,-0.00145375340433666
,669,-0.0121758883408937,669,-0.0238245458296327,669,-0.00146943919440524
,668,-0.0121188990249734,668,-0.0239166717099247,668,-0.00140240943858034
,667,-0.0120607944441055,667,-0.0238808527455009,667,-0.00149745549530744
,666,-0.0121991450826148,666,-0.0238138618832275,666,-0.00138063157156787
,665,-0.0120110418835221,665,-0.0237049000273645,665,-0.00132912411865088
,664,-0.0119952790028416,664,-0.0238077846588267,664,-0.00141350437745777
,663,-0.0119517140727186,663,-0.0237431353708388,663,-0.00133578223941618
,662,-0.0120079195692098,662,-0.0238301327428198,662,-0.00127952048673436
,661,-0.0118932848780506,661,-0.0238145480161236,661,-0.00123326683491834
,660,-0.0120280631377666,660,-0.0237123022604653,660,-0.00124431447186309
,659,-0.011932977290661,659,-0.0236622979684812,659,-0.00124503720467305
,658,-0.0118379210004003,658,-0.02368685961959,658,-0.001195062559619
,657,-0.0119627442196257,657,-0.0237538210572856,657,-0.00127322284616663
,656,-0.0118576694353053,656,-0.0236205742953124,656,-0.00120688559309557
,655,-0.012001120903941,655,-0.02375494843089,655,-0.00116093400686322
,654,-0.0118587777392226,654,-0.0236537182220724,654,-0.00112607984234481
,653,-0.0119386689255306,653,-0.0237863176531896,653,-0.00129237358450317
,652,-0.0119962358713343,652,-0.0237668591993106,652,-0.00138496658949701
,651,-0.0120587299269049,651,-0.0237239691002083,651,-0.00140550572910567
,650,-0.0119688383815588,650,-0.0238099901129966,650,-0.00137681259135069
,649,-0.0118651756201831,649,-0.0237206357494058,649,-0.00130832328535617
,648,-0.0118809432236361,648,-0.023717792577033,648,-0.00126558296288809
,647,-0.0118744951993958,647,-0.0238359646193904,647,-0.00127652653785199
,646,-0.0118728328026238,646,-0.0236929385363581,646,-0.00132912411865088
,645,-0.0118757545866533,645,-0.0237289690784416,645,-0.00129526418863516
,644,-0.0118366111234713,644,-0.0237281357527336,644,-0.00124994143125531
,643,-0.0118634628108969,643,-0.0236771037607956,643,-0.00122753640786854
,642,-0.0117968091329412,642,-0.0237967572199765,642,-0.00132809184272593
,641,-0.0117928287332545,641,-0.0237320572715347,641,-0.00135327867486184
,640,-0.0118192800721635,640,-0.0238795786923587,640,-0.0013678326947363
,639,-0.0118070874646676,639,-0.0237207337895005,639,-0.00122867217419268
,638,-0.0118545963960138,638,-0.0237219102689101,638,-0.00132272396836348
,637,-0.0116632190796975,637,-0.0236278799047751,637,-0.00120389114343757
,636,-0.0116680574600486,636,-0.0236318513590279,636,-0.00118468487197708
,635,-0.0118134357245082,635,-0.0236477858411541,635,-0.00119211965846293
,634,-0.011638471937284,634,-0.0235764438397007,634,-0.00128829573524449
,633,-0.0117707091386965,633,-0.023702448928996,633,-0.00133789836494947
,632,-0.0117449603100934,632,-0.0235949301430047,632,-0.00127580385744326
,631,-0.0116086323669388,631,-0.0235510913166365,631,-0.00114368799951505
,630,-0.0118307670090388,630,-0.0236991644354937,630,-0.00136886487620553
,629,-0.0116588846515258,629,-0.023763085040557,629,-0.00138728890273097
,628,-0.0115619031097803,628,-0.023661170354342,628,-0.00137650294283422
,627,-0.0116553565966594,627,-0.0236081201542518,627,-0.00153883169846084
,626,-0.0118235625183613,626,-0.0236859771891159,626,-0.00152216819049678
,625,-0.0115614998149114,625,-0.0236271444462984,625,-0.00162982484072287
,624,-0.0115614494030264,624,-0.0235181357282082,624,-0.0014347129834602
,623,-0.011341547496526,623,-0.0233825108935954,623,-0.00143796384611968
,622,-0.0115118412721742,622,-0.0234950849464673,622,-0.00156627608259005
,621,-0.0113536018726211,621,-0.0233988960342694,621,-0.00145896486453994
,620,-0.0115531313618701,620,-0.0235172039118246,620,-0.00162471858766551
,619,-0.0114226432959643,619,-0.0235057276934758,619,-0.00147759145366342
,618,-0.0112384411716485,618,-0.0233695593270062,618,-0.0012703320953263
,617,-0.0114193654634167,617,-0.023383639231485,617,-0.00142010960181441
,616,-0.0114595046015953,616,-0.02343034003679,616,-0.00142392820131882
,615,-0.0113855771322362,615,-0.0234261214728937,615,-0.00117311939556444
,614,-0.0112472697261878,614,-0.023348806579822,614,-0.00132494338600058
,613,-0.0112071109667587,613,-0.0233217234891542,613,-0.00121664322544855
,612,-0.0112292088340751,612,-0.0233577848403828,612,-0.0011075414508691
,611,-0.0112316304498039,611,-0.0234031148626298,611,-0.00113676875017468
,610,-0.0112214393924547,610,-0.0233909978849498,610,-0.00113186324542761
,609,-0.011288130983832,609,-0.0233147071231897,609,-0.00113769820798814
,608,-0.0111651824704069,608,-0.0233148052549638,608,-0.0011143578873575
,607,-0.0112255259342707,607,-0.0232549898263916,607,-0.00112463397954024
,606,-0.0111066978188861,606,-0.0233631324592924,606,-0.00100233787558917
,605,-0.0112097849694046,605,-0.0232783968447998,605,-0.00114404944980903
,604,-0.0112639173693123,604,-0.0233038634255499,604,-0.00117043450877692
,603,-0.0112156878980886,603,-0.0232270665966763,603,-0.00109757480191233
,602,-0.0110544637112323,602,-0.0232263304591261,602,-0.00113191488260824
,601,-0.0111076061825725,601,-0.0233171113452724,601,-0.00113237961695767
,600,-0.0109141827824359,600,-0.0231666500907224,600,-0.00107428396880227
,599,-0.0111555953623346,599,-0.0233241767372208,599,-0.00121013816157244
,598,-0.0109947526833768,598,-0.0232149447061199,598,-0.0012261425087748
,597,-0.0110659204253493,597,-0.0232087609393191,597,-0.00139384291976924
,596,-0.0111021055067224,596,-0.0232195579351183,596,-0.00142361858639359
,595,-0.0111134095723915,595,-0.023241641863236,595,-0.00146422785989139
,594,-0.0111622054437138,594,-0.0232008593313835,594,-0.00143641581931668
,593,-0.0111781499588057,593,-0.0232921362260817,593,-0.00158443381951135
,592,-0.0110203946038908,592,-0.0232020372199453,592,-0.00153331165983034
,591,-0.0109789528722352,591,-0.0232439483420716,591,-0.00152552157939937
,590,-0.0108211756280934,590,-0.0231868716604904,590,-0.00151056010588637
,589,-0.0108091064645869,589,-0.0231278730876928,589,-0.00153289894384273
,588,-0.0105491593186352,588,-0.0230943944596851,588,-0.00152015614472648
,587,-0.0104104336069457,587,-0.0231059797314781,587,-0.00156137542690441
,586,-0.0101657236231249,586,-0.0231331253655054,586,-0.00161693014667229
,585,-0.00995918021690114,585,-0.0230873744200518,585,-0.00150829004418107
,584,-0.00981328104707479,584,-0.0230397038767548,584,-0.0015847433198103
,583,-0.0097386678035664,583,-0.0231003834947072,583,-0.00154961362763048
,582,-0.00951074975899742,582,-0.0229958089657125,582,-0.00161517643870603
,581,-0.00931641099980909,581,-0.0230109320982044,581,-0.00158778672766849
,580,-0.00922245279550712,580,-0.0231298856502491,580,-0.00167139472761997
,579,-0.00878066806761323,579,-0.0229454274587732,579,-0.00141598134836412
,578,-0.00862686089786734,578,-0.0229418916949505,578,-0.00161115319955454
,577,-0.00838881165634514,577,-0.023080452451685,577,-0.00173023561855481
,576,-0.00799807535228651,576,-0.0229337887942827,576,-0.00157200204181108
,575,-0.00788176710567719,575,-0.023076770508668,575,-0.00170507063911881
,574,-0.00745978662698385,574,-0.0228927808875106,574,-0.00152970038164027
,573,-0.00711731288605786,573,-0.0228561406080339,573,-0.00153908964247535
,572,-0.00676865623461738,572,-0.0229329048323367,572,-0.00166804246488675
,571,-0.00642558582465765,571,-0.0229389943114699,571,-0.00168366894572731
,570,-0.000911729787721988,570,-0.0230795196957397,570,-0.00168892921872438
,569,-0.000155132783606954,569,-0.0229579497241376,569,-0.00159325449159835
,568,0.00031190846729996,568,-0.0228521129356556,568,-0.00160109493861354
,567,0.00106399896491822,567,-0.0230859998535522,567,-0.00163008273069877
,566,0.00187619774280469,566,-0.0229220515973416,566,-0.00153547841233067
,565,0.00269387743744562,565,-0.0230544327185521,565,-0.00161558907651166
,564,0.00376983168397212,564,-0.022905501119562,564,-0.00157081558799308
,563,0.00494293975039397,563,-0.0228915530461671,563,-0.00155147077500889
,562,0.00652339872910182,562,-0.0227649685354581,562,-0.00149791983866015
,561,0.00722508133519994,561,-0.0229667396476771,561,-0.00171538433162613
,560,0.00814819056088205,560,-0.0227957707245153,560,-0.00164550427287053
,559,0.00916637119444816,559,-0.0228725947352352,559,-0.00167809917546037
,558,0.0103934311969864,558,-0.0227990620573119,558,-0.00150091226169071
,557,0.0112601018626976,557,-0.0227924302418436,557,-0.0014793973131751
,556,0.0121533950465722,556,-0.0226902874931938,556,-0.00137381931310997
,555,0.0130458885495197,555,-0.0226406568032707,555,-0.00137748349571233
,554,0.0136523493161123,554,-0.0227700286941516,554,-0.0014985905559598
,553,0.0141307956801098,553,-0.0229225426998065,553,-0.00168072935365449
,552,0.0149007940813051,552,-0.0227891879840904,552,-0.00163348686402857
,551,0.0157656976838456,551,-0.0227311671282285,551,-0.00150483333652099
,550,0.0165533660695483,550,-0.0226596743814566,550,-0.00142810798120569
,549,0.0169865110005182,549,-0.022779755823903,549,-0.00156080797898956
,548,0.0175021987318683,548,-0.0228116867890884,548,-0.00158799305963267
,547,0.0176426604305314,547,-0.022805595524633,547,-0.0015418238396103
,546,0.0179675324892213,546,-0.0227431551376674,546,-0.00161043107576166
,545,0.0183104408388973,545,-0.0227682601016988,545,-0.00152299364247519
,544,0.0192315464463602,544,-0.0226884694392855,544,-0.00152841063215211
,543,0.0196579465247994,543,-0.0228258339123804,543,-0.00152562476018576
,542,0.0206134580499931,542,-0.0227180978556724,542,-0.00156839108532918
,541,0.0209845427414739,541,-0.0227187365886601,541,-0.00165948118417344
,540,0.0215758916418728,540,-0.0228251953368854,540,-0.00170568946757636
,539,0.0222746290192182,539,-0.022765852839287,539,-0.00167309663571985
,538,0.0229803602761421,538,-0.022734655476586,538,-0.00140251264862017
,537,0.0225954324462639,537,-0.0227555849783486,537,-0.00159067536624649
,536,0.0230567862566841,536,-0.0226199183398785,536,-0.00155843500694886
,535,0.0236358769371493,535,-0.0227677196970127,535,-0.00135921388370431
,534,0.0239507399571084,534,-0.0227160342503687,534,-0.00152712087883369
,533,0.0246572297214246,533,-0.022716279918181,533,-0.00159722631468438
,532,0.0260485984384844,532,-0.0227047333807801,532,-0.00152985515132145
,531,0.0271375322074561,531,-0.0224744263955707,531,-0.00143708663160878
,530,0.0280472514458483,530,0.0348551331346219,530,-0.00137149692784845
,529,0.0285309669860464,529,-0.00140344153787489,529,-0.00165427212959107
,528,0.0293655007641466,528,-0.0267084986496323,528,-0.00167242618787061
,527,0.0304666532204429,527,-0.0272034297842433,527,-0.0015188663668939
,526,0.0312285293369233,526,-0.0272170455541825,526,-0.00164658737063623
,525,0.032009828991368,525,-0.0238323870909474,525,-0.00164560742515507
,524,0.0324424686166188,524,-0.0222250598021197,524,-0.00157757317291745
,523,0.0325247908708028,523,-0.0226579053395461,523,-0.00161527959819419
,522,0.0325471385740679,522,-0.0227885493547098,522,-0.00156379996873429
,521,0.0323490624976203,521,-0.0227782820303689,521,-0.00144131788526354
,520,0.0315912608883168,520,-0.0227305284135226,520,-0.00147753985756704
,519,0.03149389052392,519,-0.022680312671323,519,-0.00152964879173428
,518,0.0313801523966236,518,-0.0226702884815971,518,-0.00162461543041939
,517,0.0307536380570784,517,-0.0228100166121743,517,-0.00167820232000336
,516,0.0300870480675104,516,-0.0227851105649795,516,-0.00163250688898684
,515,0.028132252200601,515,-0.0225955911550272,515,-0.00151045692152082
,514,0.0282738189691279,514,-0.0226459641181655,514,-0.0014458586969854
,513,0.0309934930542886,513,-0.0226044867079329,513,-0.00149668158861632
,512,0.0367846781346549,512,-0.0226457184105745,512,-0.00160908998553218
,511,0.041954297339672,511,-0.0226416887862465,511,-0.00156766889042998
,510,0.0528286756018625,510,-0.0227258608544651,510,-0.0016038803265044
,509,0.0616194338380324,509,-0.0227012939273194,509,-0.00163276477737011
,508,0.0666187226380392,508,-0.0226130872073895,508,-0.00163580784872785
,507,0.0658660846348474,507,-0.0226539741095012,507,-0.00150689704589638
,506,0.0670951545116057,506,-0.0226178542680086,506,-0.00159722631468438
,505,0.0684229751472624,505,-0.0226370694148001,505,-0.00155967308093559
,504,0.0685406581175167,504,-0.0226846858972923,504,-0.00173508280366513
,503,0.0706329894139382,503,-0.0226747109467623,503,-0.00163317739846481
,502,0.0722097815738398,502,-0.0226503868310339,502,-0.00155951832188027
,501,0.0746937458561803,501,-0.0226191811724796,501,-0.00152990674120292
,500,0.0775327606836085,500,-0.022764673767115,500,-0.001660100077595
,499,0.080845668599842,499,-0.0226971174114966,499,-0.00157375592412654
,498,0.0884383782613319,498,-0.0226838505653972,498,-0.00156256190651233
,497,0.0829852748893592,497,-0.0227738606197583,497,-0.00164560742515507
,496,0.0755106705224099,496,-0.0227309214688374,496,-0.00161455748126246
,495,0.0558833001567871,495,-0.0227093028982438,495,-0.00152464454172529
,494,0.0306290657895641,494,-0.0227501807435039,494,-0.00145664293454996
,493,0.0110889980515814,493,-0.0228464151889827,493,-0.00147588877924616
,492,-0.00227438089586836,492,-0.0227623156131678,492,-0.00157891436047343
,491,-0.0118137380202812,491,-0.022786387832915,491,-0.00167221989601646
,490,-0.0132330121589696,490,-0.0227655580715441,490,-0.00154749853344342
,489,-0.011730246008299,489,-0.0227654598155854,489,-0.00153171238319359
,488,-0.0109071145341255,488,-0.0227137740999759,488,-0.00157303373814856
,487,-0.0108327394910392,487,-0.0227670319082579,487,-0.00158603290201511
,486,-0.0104042669911446,486,-0.022735146791005,486,-0.00141463965754349
,485,-0.0103634235875066,485,-0.0227710112424021,485,-0.00145829408604018
,484,-0.0103646873642651,484,-0.0227814752433716,484,-0.00165912016260357
,483,-0.0102799050676493,483,-0.0228309424825388,483,-0.0017230678733389
,482,-0.0100036537742246,482,-0.0228030902217149,482,-0.00160026963506698
,481,-0.0097920727520064,481,-0.0227882054769621,481,-0.0016292059041559
,480,-0.00953794822106793,480,-0.0228126201204486,480,-0.00155864135285842
,479,-0.00931261049607414,479,-0.0227518511505456,479,-0.00157019656732306
,478,-0.00923025808070528,478,-0.0228362474725626,478,-0.0014750116413351
,477,-0.00892726952338503,477,-0.0226704358978282,477,-0.00142423781602331
,476,-0.00880395513419556,476,-0.0227290544529239,476,-0.00144771628809684
,475,-0.00852026508599587,475,-0.022651861058648,475,-0.00147207063658762
,474,-0.0082613821578632,474,-0.0227065022319534,474,-0.0014157749346615
,473,-0.00810718768051474,473,-0.0227341150300832,473,-0.00142475384004031
,472,-0.00793677340164335,472,-0.0228326125789798,472,-0.00148956158235033
,471,-0.00774305116668729,471,-0.0227745975246526,471,-0.00147815901031909
,470,-0.00745027004509009,470,-0.0228093288904016,470,-0.00145076065634826
,469,-0.00721855072320905,469,-0.0227942969853274,469,-0.00146149317418857
,468,-0.00703225078618699,468,-0.0228308442413717,468,-0.00142852079678956
,467,-0.00678476286839452,467,-0.0227681127186693,467,-0.00142707594052926
,466,-0.00659378945772362,466,-0.022798374318192,466,-0.00138187015253448
,465,-0.00629620117174139,465,-0.0226768238864431,465,-0.00138672122730943
,464,-0.00610409386885175,464,-0.0227663441184139,464,-0.00133093059561554
,463,-0.00583227306864694,463,-0.022801125268137,463,-0.00127389391057417
,462,-0.00556283769052897,462,-0.0228797164775838,462,-0.00124643104312434
,461,-0.00544955645717231,461,-0.0228866907603548,461,-0.0013422854216234
,460,-0.00524740692539008,460,-0.0228799620528232,460,-0.00143166850271346
,459,-0.00500181672651616,459,-0.0228317284110758,459,-0.00139105618445389
,458,-0.004784865545943,458,-0.0228834000915944,458,-0.00135740752438229
,457,-0.00446512834508646,457,-0.022874952290461,457,-0.00124658591378723
,456,-0.00417320490739384,456,-0.0228720053444291,456,-0.001291650930464
,455,-0.00391910514903132,455,-0.0228873783596331,455,-0.0012220124111197
,454,-0.00364693968919261,454,-0.0228381631474793,454,-0.00118117395633771
,453,-0.00345709789079765,453,-0.0229636951132935,453,-0.0012883473538288
,452,-0.00324769812859756,452,-0.0229023088183507,452,-0.00124421122422063
,451,-0.00291613044071694,451,-0.0228752960995289,451,-0.00116702674395088
,450,-0.00252074576790969,450,-0.0228259321546809,450,-0.00111399641235125
,449,-0.00242376110623007,449,-0.0229927646351074,449,-0.0011854077040266
,448,-0.00218640739345758,448,-0.0230403421369201,448,-0.00114219055937811
,447,-0.00181603311154477,447,-0.0230046472239772,447,-0.00111776606548204
,446,-0.00160898682457376,446,-0.0229512712275421,446,-0.00115608040937239
,445,-0.00132747247599322,445,-0.0229862339829475,445,-0.00114363636373421
,444,-0.000975167765238833,444,-0.0229482756920296,444,-0.001123962684459
,443,-0.000679906074844707,443,-0.0230358251986572,443,-0.00107888026317468
,442,-0.000363183550899065,442,-0.0230296388808923,442,-0.00109958880641077
,441,-0.000106585337295817,441,-0.0229827476547466,441,-0.00108388965220413
,440,0.00025414512626713,440,-0.0230118159013483,440,-0.00103864812590971
,439,0.000510590120518607,439,-0.023010882997977,439,-0.00101406285443524
,438,0.000959123889797555,438,-0.0230567401918417,438,-0.00100858779357685
,437,0.00130968013251692,437,-0.0230506032677384,437,-0.000983225998087461
,436,0.00166018176119372,436,-0.0230641043862977,436,-0.000934512733637466
,435,0.00208914789507206,435,-0.0231505016076312,435,-0.000931464744366545
